Id;SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species;PetalArea
1;51;35;14;2;Iris-setosa;28
2;49;30;14;2;Iris-setosa;28
3;47;32;13;2;Iris-setosa;26
4;46;31;15;2;Iris-setosa;30
5;50;36;14;2;Iris-setosa;28
6;54;39;17;4;Iris-setosa;68
7;46;34;14;3;Iris-setosa;42
8;50;34;15;2;Iris-setosa;30
9;44;29;14;2;Iris-setosa;28
10;49;31;15;1;Iris-setosa;15
11;54;37;15;2;Iris-setosa;30
12;48;34;16;2;Iris-setosa;32
13;48;30;14;1;Iris-setosa;14
14;43;30;11;1;Iris-setosa;11
15;58;40;12;2;Iris-setosa;24
16;57;44;15;4;Iris-setosa;60
17;54;39;13;4;Iris-setosa;52
18;51;35;14;3;Iris-setosa;42
19;57;38;17;3;Iris-setosa;51
20;51;38;15;3;Iris-setosa;45
21;54;34;17;2;Iris-setosa;34
22;51;37;15;4;Iris-setosa;60
23;46;36;10;2;Iris-setosa;20
24;51;33;17;5;Iris-setosa;85
25;48;34;19;2;Iris-setosa;38
26;50;30;16;2;Iris-setosa;32
27;50;34;16;4;Iris-setosa;64
28;52;35;15;2;Iris-setosa;30
29;52;34;14;2;Iris-setosa;28
30;47;32;16;2;Iris-setosa;32
31;48;31;16;2;Iris-setosa;32
32;54;34;15;4;Iris-setosa;60
33;52;41;15;1;Iris-setosa;15
34;55;42;14;2;Iris-setosa;28
35;49;31;15;1;Iris-setosa;15
36;50;32;12;2;Iris-setosa;24
37;55;35;13;2;Iris-setosa;26
38;49;31;15;1;Iris-setosa;15
39;44;30;13;2;Iris-setosa;26
40;51;34;15;2;Iris-setosa;30
41;50;35;13;3;Iris-setosa;39
42;45;23;13;3;Iris-setosa;39
43;44;32;13;2;Iris-setosa;26
44;50;35;16;6;Iris-setosa;96
45;51;38;19;4;Iris-setosa;76
46;48;30;14;3;Iris-setosa;42
47;51;38;16;2;Iris-setosa;32
48;46;32;14;2;Iris-setosa;28
49;53;37;15;2;Iris-setosa;30
50;50;33;14;2;Iris-setosa;28
51;70;32;47;14;Iris-versicolor;658
52;64;32;45;15;Iris-versicolor;675
53;69;31;49;15;Iris-versicolor;735
54;55;23;40;13;Iris-versicolor;520
55;65;28;46;15;Iris-versicolor;690
56;57;28;45;13;Iris-versicolor;585
57;63;33;47;16;Iris-versicolor;752
58;49;24;33;10;Iris-versicolor;330
59;66;29;46;13;Iris-versicolor;598
60;52;27;39;14;Iris-versicolor;546
61;50;20;35;10;Iris-versicolor;350
62;59;30;42;15;Iris-versicolor;630
63;60;22;40;10;Iris-versicolor;400
64;61;29;47;14;Iris-versicolor;658
65;56;29;36;13;Iris-versicolor;468
66;67;31;44;14;Iris-versicolor;616
67;56;30;45;15;Iris-versicolor;675
68;58;27;41;10;Iris-versicolor;410
69;62;22;45;15;Iris-versicolor;675
70;56;25;39;11;Iris-versicolor;429
71;59;32;48;18;Iris-versicolor;864
72;61;28;40;13;Iris-versicolor;520
73;63;25;49;15;Iris-versicolor;735
74;61;28;47;12;Iris-versicolor;564
75;64;29;43;13;Iris-versicolor;559
76;66;30;44;14;Iris-versicolor;616
77;68;28;48;14;Iris-versicolor;672
78;67;30;50;17;Iris-versicolor;850
79;60;29;45;15;Iris-versicolor;675
80;57;26;35;10;Iris-versicolor;350
81;55;24;38;11;Iris-versicolor;418
82;55;24;37;10;Iris-versicolor;370
83;58;27;39;12;Iris-versicolor;468
84;60;27;51;16;Iris-versicolor;816
85;54;30;45;15;Iris-versicolor;675
86;60;34;45;16;Iris-versicolor;720
87;67;31;47;15;Iris-versicolor;705
88;63;23;44;13;Iris-versicolor;572
89;56;30;41;13;Iris-versicolor;533
90;55;25;40;13;Iris-versicolor;520
91;55;26;44;12;Iris-versicolor;528
92;61;30;46;14;Iris-versicolor;644
93;58;26;40;12;Iris-versicolor;480
94;50;23;33;10;Iris-versicolor;330
95;56;27;42;13;Iris-versicolor;546
96;57;30;42;12;Iris-versicolor;504
97;57;29;42;13;Iris-versicolor;546
98;62;29;43;13;Iris-versicolor;559
99;51;25;30;11;Iris-versicolor;330
100;57;28;41;13;Iris-versicolor;533
101;63;33;60;25;Iris-virginica;1500
102;58;27;51;19;Iris-virginica;969
103;71;30;59;21;Iris-virginica;1239
104;63;29;56;18;Iris-virginica;1008
105;65;30;58;22;Iris-virginica;1276
106;76;30;66;21;Iris-virginica;1386
107;49;25;45;17;Iris-virginica;765
108;73;29;63;18;Iris-virginica;1134
109;67;25;58;18;Iris-virginica;1044
110;72;36;61;25;Iris-virginica;1525
111;65;32;51;20;Iris-virginica;1020
112;64;27;53;19;Iris-virginica;1007
113;68;30;55;21;Iris-virginica;1155
114;57;25;50;20;Iris-virginica;1000
115;58;28;51;24;Iris-virginica;1224
116;64;32;53;23;Iris-virginica;1219
117;65;30;55;18;Iris-virginica;990
118;77;38;67;22;Iris-virginica;1474
119;77;26;69;23;Iris-virginica;1587
120;60;22;50;15;Iris-virginica;750
121;69;32;57;23;Iris-virginica;1311
122;56;28;49;20;Iris-virginica;980
123;77;28;67;20;Iris-virginica;1340
124;63;27;49;18;Iris-virginica;882
125;67;33;57;21;Iris-virginica;1197
126;72;32;60;18;Iris-virginica;1080
127;62;28;48;18;Iris-virginica;864
128;61;30;49;18;Iris-virginica;882
129;64;28;56;21;Iris-virginica;1176
130;72;30;58;16;Iris-virginica;928
131;74;28;61;19;Iris-virginica;1159
132;79;38;64;20;Iris-virginica;1280
133;64;28;56;22;Iris-virginica;1232
134;63;28;51;15;Iris-virginica;765
135;61;26;56;14;Iris-virginica;784
136;77;30;61;23;Iris-virginica;1403
137;63;34;56;24;Iris-virginica;1344
138;64;31;55;18;Iris-virginica;990
139;60;30;48;18;Iris-virginica;864
140;69;31;54;21;Iris-virginica;1134
141;67;31;56;24;Iris-virginica;1344
142;69;31;51;23;Iris-virginica;1173
143;58;27;51;19;Iris-virginica;969
144;68;32;59;23;Iris-virginica;1357
145;67;33;57;25;Iris-virginica;1425
146;67;30;52;23;Iris-virginica;1196
147;63;25;50;19;Iris-virginica;950
148;65;30;52;20;Iris-virginica;1040
149;62;34;54;23;Iris-virginica;1242
150;59;30;51;18;Iris-virginica;918
